"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,9919.3,9674,0,0,0,0,0,0
1,9958.1,9958.1,0,0,0,0.1,0,0
1,10012,10012,0,0,0,0.2,0,0
1,10010,10010,0,0,0,0.3,0,0
1,9933.6,9933.6,0,0,0,0.4,0,0
1,9788.9,9788.9,0,0,0,0.5,0,0
1,9600.6,9600.6,0,0,0,0.6,0,0
1,9387,9387,0,0,0,0.7,0,0
1,9153.5,9153.5,0,0,0,0.8,0,0
1,8899.7,8899.7,0,0,0,0.9,0,0
1,8624.8,8624.8,0,0,0,1,0,0
1,8328.4,8328.4,0,0,0,1.1,0,0
1,8011.4,8011.4,0,0,0,1.2,0,0
1,7675.8,7675.8,0,0,0,1.3,0,0
1,7325,7325,0,0,0,1.4,0,0
1,6963,6963,0,0,0,1.5,0,0
1,6594.3,6594.3,0,0,0,1.6,0,0
1,6226.2,6226.2,0,0,0,1.7,0,0
1,5868.4,5868.4,0,0,0,1.8,0,0
1,5527.9,5527.9,0,0,0,1.9,0,0
1,5208.4,5208.4,0,0,0,2,0,0
1,4913,4913,0,0,0,2.1,0,0
1,4643.7,4643.7,0,0,0,2.2,0,0
1,4401.2,4401.2,0,0,0,2.3,0,0
1,4186.6,4186.6,0,0,0,2.4,0,0
1,3998.2,3998.2,0,0,0,2.5,0,0
1,3829.1,3829.1,0,0,0,2.6,0,0
1,3667.4,3667.4,0,0,0,2.7,0,0
1,3498.2,3498.2,0,0,0,2.8,0,0
0.99999,3318.7,3318.7,0,0,0,2.9,0,0
0.99999,3146.2,3146.2,0,0,0,3,0,0
0.99999,3001.3,3001.3,0,0,0,3.1,0,0
0.99999,2884.5,2884.5,0,0,0,3.2,0,0
0.99999,2775.4,2775.4,0,0,0,3.3,0,0
0.99999,2648.1,2648.1,0,0,0,3.4,0,0
0.99998,2495.5,2495.5,0,0,0,3.5,0,0
0.99998,2369.1,2369.1,0,0,0,3.6,0,0
0.99997,2347.8,2347.8,0,0,0,3.7,0,0
0.99997,2522,2522,0,0,0,3.8,0,0
0.9217,2715.9,2715.9,0,0,0,3.9,0,0
0.84343,2759.3,2552.4,3.1064,0.073459,5.4439e-23,4,0,0
1,9896.9,8915.9,0,0,0,0,0.1,0
1,9933.4,8952.4,0.014065,-0.089277,0,0.1,0.1,0
1,9984.1,9003.1,0.19052,-0.21751,0,0.2,0.1,0
1,9978.9,8997.9,0.44241,-0.26451,0,0.3,0.1,0
1,9900.4,8919.4,0.69996,-0.25786,0,0.4,0.1,0
1,9755.7,8774.7,0.93912,-0.23342,0,0.5,0.1,0
1,9569.2,8588.2,1.1552,-0.21195,0,0.6,0.1,0
1,9357.2,8376.2,1.3559,-0.20016,-2.2944e-21,0.7,0.1,0
1,9124,8143,1.5521,-0.19751,-4.6359e-21,0.8,0.1,0
