"alpha.water","p_rgh","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,4,0
0,0,0,0,0,0,4,1
0,0,0,0,0,0.1,4,1
0,0,0,0,0,0.1,4,0
0,0,0,0,0,0.2,4,1
0,0,0,0,0,0.2,4,0
0,0,0,0,0,0.3,4,1
0,0,0,0,0,0.3,4,0
0,0,0,0,0,0.4,4,1
0,0,0,0,0,0.4,4,0
0,0,0,0,0,0.5,4,1
0,0,0,0,0,0.5,4,0
0,0,0,0,0,0.6,4,1
0,0,0,0,0,0.6,4,0
0,0,0,0,0,0.7,4,1
0,0,0,0,0,0.7,4,0
0,0,0,0,0,0.8,4,1
0,0,0,0,0,0.8,4,0
0,0,0,0,0,0.9,4,1
0,0,0,0,0,0.9,4,0
0,0,0,0,0,1,4,1
0,0,0,0,0,1,4,0
0,0,0,0,0,1.1,4,1
0,0,0,0,0,1.1,4,0
0,0,0,0,0,1.2,4,1
0,0,0,0,0,1.2,4,0
0,0,0,0,0,1.3,4,1
0,0,0,0,0,1.3,4,0
0,0,0,0,0,1.4,4,1
0,0,0,0,0,1.4,4,0
0,0,0,0,0,1.5,4,1
0,0,0,0,0,1.5,4,0
0,0,0,0,0,1.6,4,1
0,0,0,0,0,1.6,4,0
0,0,0,0,0,1.7,4,1
0,0,0,0,0,1.7,4,0
0,0,0,0,0,1.8,4,1
0,0,0,0,0,1.8,4,0
0,0,0,0,0,1.9,4,1
0,0,0,0,0,1.9,4,0
0,0,0,0,0,2,4,1
0,0,0,0,0,2,4,0
0,0,0,0,0,2.1,4,1
0,0,0,0,0,2.1,4,0
0,0,0,0,0,2.2,4,1
0,0,0,0,0,2.2,4,0
0,0,0,0,0,2.3,4,1
0,0,0,0,0,2.3,4,0
0,0,0,0,0,2.4,4,1
0,0,0,0,0,2.4,4,0
0,0,0,0,0,2.5,4,1
0,0,0,0,0,2.5,4,0
0,0,0,0,0,2.6,4,1
0,0,0,0,0,2.6,4,0
0,0,0,0,0,2.7,4,1
0,0,0,0,0,2.7,4,0
0,0,0,0,0,2.8,4,1
0,0,0,0,0,2.8,4,0
0,0,0,0,0,2.9,4,1
0,0,0,0,0,2.9,4,0
0,0,0,0,0,3,4,1
0,0,0,0,0,3,4,0
0,0,0,0,0,3.1,4,1
0,0,0,0,0,3.1,4,0
0,0,0,0,0,3.2,4,1
0,0,0,0,0,3.2,4,0
0,0,0,0,0,3.3,4,1
0,0,0,0,0,3.3,4,0
0,0,0,0,0,3.4,4,1
0,0,0,0,0,3.4,4,0
0,0,0,0,0,3.5,4,1
0,0,0,0,0,3.5,4,0
0,0,0,0,0,3.6,4,1
0,0,0,0,0,3.6,4,0
0,0,0,0,0,3.7,4,1
0,0,0,0,0,3.7,4,0
0,0,0,0,0,3.8,4,1
0,0,0,0,0,3.8,4,0
0,0,0,0,0,3.9,4,1
0,0,0,0,0,3.9,4,0
0,0,0,0,0,4,4,1
0,0,0,0,0,4,4,0
