"kst","nut","wetDry","S","alpha","H","HU:0","HU:1","HU:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
30,0.0019827,1,0,0.20534,0.14015,0.19117,-0.014799,-1.7121e-24,1.3641,-0.10559,-1.2216e-23,4,0,0
30,0.0020081,1,0,0.21776,0.13823,0.19686,0,0,1.4241,0,0,4.1,0,0
30,0.0020592,1,0,0.22301,0.13832,0.20187,0,0,1.4594,0,0,4.2,0,0
30,0.0021101,1,0,0.22991,0.13794,0.20674,0,0,1.4989,0,0,4.3,0,0
30,0.0021589,1,0,0.238,0.1372,0.21134,0,0,1.5404,0,0,4.4,0,0
30,0.0022044,1,0,0.24692,0.1362,0.21555,0,0,1.5826,0,0,4.5,0,0
30,0.0022456,1,0,0.25644,0.135,0.21927,0,0,1.6243,0,0,4.6,0,0
30,0.0022821,1,0,0.26643,0.13364,0.22249,0,0,1.665,0,0,4.7,0,0
30,0.0023138,1,0,0.27679,0.13215,0.22519,0,0,1.7041,0,0,4.8,0,0
30,0.0023407,1,0,0.28743,0.13057,0.22738,0,0,1.7416,0,0,4.9,0,0
30,0.002363,1,0,0.29831,0.12892,0.22909,0,0,1.7771,0,0,5,0,0
30,0.002381,1,0,0.30936,0.12723,0.23036,0,0,1.8108,0,0,5.1,0,0
30,0.0023952,1,0,0.32051,0.12551,0.23123,0,0,1.8425,0,0,5.2,0,0
30,0.0024059,1,0,0.33171,0.12379,0.23176,0,0,1.8722,0,0,5.3,0,0
30,0.0024137,1,0,0.34291,0.1221,0.232,0,0,1.9002,0,0,5.4,0,0
30,0.0024192,1,0,0.35408,0.12043,0.232,0,0,1.9265,0,0,5.5,0,0
30,0.0024225,1,0,0.36523,0.1188,0.23181,0,0,1.9514,0,0,5.6,0,0
30,0.002424,1,0,0.3764,0.11719,0.23144,0,0,1.9749,0,0,5.7,0,0
30,0.0024236,1,0,0.38771,0.11559,0.23087,0,0,1.9973,0,0,5.8,0,0
30,0.0024207,1,0,0.39938,0.11396,0.23007,0,0,2.0188,0,0,5.9,0,0
30,0.0024146,1,0,0.41171,0.11225,0.22892,0,0,2.0395,0,0,6,0,0
30,0.0024037,1,0,0.42516,0.11037,0.22728,0,0,2.0593,0,0,6.1,0,0
