"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,-0.50618,-39.746,0,-1.0063,0,0,4,0
0,-0.50618,-39.746,0,-1.0063,0,0,4,1
0,-0.50461,-39.745,0,-1.0047,0,0.1,4,1
0,-0.50461,-39.745,0,-1.0047,0,0.1,4,0
0,-0.4996,-39.74,0,-0.99968,0,0.2,4,1
0,-0.4996,-39.74,0,-0.99968,0,0.2,4,0
0,-0.49104,-39.731,0,-0.99108,0,0.3,4,1
0,-0.49104,-39.731,0,-0.99108,0,0.3,4,0
0,-0.47925,-39.719,0,-0.97909,0,0.4,4,1
0,-0.47925,-39.719,0,-0.97909,0,0.4,4,0
0,-0.46446,-39.704,0,-0.96385,0,0.5,4,1
0,-0.46446,-39.704,0,-0.96385,0,0.5,4,0
0,-0.44693,-39.687,0,-0.94547,0,0.6,4,1
0,-0.44693,-39.687,0,-0.94547,0,0.6,4,0
0,-0.427,-39.667,0,-0.92412,0,0.7,4,1
0,-0.427,-39.667,0,-0.92412,0,0.7,4,0
0,-0.40503,-39.645,0,-0.9,0,0.8,4,1
0,-0.40503,-39.645,0,-0.9,0,0.8,4,0
0,-0.38141,-39.621,0,-0.87334,0,0.9,4,1
0,-0.38141,-39.621,0,-0.87334,0,0.9,4,0
0,-0.35656,-39.597,0,-0.84438,0,1,4,1
0,-0.35656,-39.597,0,-0.84438,0,1,4,0
0,-0.3309,-39.571,0,-0.81339,0,1.1,4,1
0,-0.3309,-39.571,0,-0.81339,0,1.1,4,0
0,-0.30484,-39.545,0,-0.78067,0,1.2,4,1
0,-0.30484,-39.545,0,-0.78067,0,1.2,4,0
0,-0.27879,-39.519,0,-0.74653,0,1.3,4,1
0,-0.27879,-39.519,0,-0.74653,0,1.3,4,0
0,-0.25311,-39.493,0,-0.71128,0,1.4,4,1
0,-0.25311,-39.493,0,-0.71128,0,1.4,4,0
0,-0.22813,-39.468,0,-0.67524,0,1.5,4,1
0,-0.22813,-39.468,0,-0.67524,0,1.5,4,0
0,-0.20413,-39.444,0,-0.6387,0,1.6,4,1
0,-0.20413,-39.444,0,-0.6387,0,1.6,4,0
0,-0.18134,-39.421,0,-0.60196,0,1.7,4,1
0,-0.18134,-39.421,0,-0.60196,0,1.7,4,0
0,-0.15994,-39.4,0,-0.5653,0,1.8,4,1
0,-0.15994,-39.4,0,-0.5653,0,1.8,4,0
0,-0.14006,-39.38,0,-0.52896,0,1.9,4,1
0,-0.14006,-39.38,0,-0.52896,0,1.9,4,0
0,-0.12176,-39.362,0,-0.49317,0,2,4,1
0,-0.12176,-39.362,0,-0.49317,0,2,4,0
0,-0.10509,-39.345,0,-0.45812,0,2.1,4,1
0,-0.10509,-39.345,0,-0.45812,0,2.1,4,0
0,-0.090021,-39.33,0,-0.42398,0,2.2,4,1
0,-0.090021,-39.33,0,-0.42398,0,2.2,4,0
0,-0.076527,-39.317,0,-0.39088,0,2.3,4,1
0,-0.076527,-39.317,0,-0.39088,0,2.3,4,0
0,-0.064539,-39.305,0,-0.35893,0,2.4,4,1
0,-0.064539,-39.305,0,-0.35893,0,2.4,4,0
0,-0.053972,-39.294,0,-0.3282,0,2.5,4,1
0,-0.053972,-39.294,0,-0.3282,0,2.5,4,0
0,-0.044729,-39.285,0,-0.29874,0,2.6,4,1
0,-0.044729,-39.285,0,-0.29874,0,2.6,4,0
0,-0.036704,-39.277,0,-0.27058,0,2.7,4,1
0,-0.036704,-39.277,0,-0.27058,0,2.7,4,0
0,-0.029788,-39.27,0,-0.24372,0,2.8,4,1
0,-0.029788,-39.27,0,-0.24372,0,2.8,4,0
0,-0.023873,-39.264,0,-0.21814,0,2.9,4,1
0,-0.023873,-39.264,0,-0.21814,0,2.9,4,0
0,-0.018852,-39.259,0,-0.1938,0,3,4,1
0,-0.018852,-39.259,0,-0.1938,0,3,4,0
0,-0.014624,-39.255,0,-0.17064,0,3.1,4,1
0,-0.014624,-39.255,0,-0.17064,0,3.1,4,0
0,-0.011095,-39.251,0,-0.14857,0,3.2,4,1
0,-0.011095,-39.251,0,-0.14857,0,3.2,4,0
0,-0.0081816,-39.248,0,-0.1275,0,3.3,4,1
0,-0.0081816,-39.248,0,-0.1275,0,3.3,4,0
0,-0.005809,-39.246,0,-0.10733,0,3.4,4,1
0,-0.005809,-39.246,0,-0.10733,0,3.4,4,0
0,-0.0039122,-39.244,0,-0.087937,0,3.5,4,1
0,-0.0039122,-39.244,0,-0.087937,0,3.5,4,0
0,-0.0024363,-39.242,0,-0.069186,0,3.6,4,1
0,-0.0024363,-39.242,0,-0.069186,0,3.6,4,0
0,-0.0013376,-39.241,0,-0.050924,0,3.7,4,1
0,-0.0013376,-39.241,0,-0.050924,0,3.7,4,0
0,-0.0005826,-39.241,0,-0.032936,0,3.8,4,1
0,-0.0005826,-39.241,0,-0.032936,0,3.8,4,0
0,-0.00015292,-39.24,0,-0.015018,0,3.9,4,1
0,-0.00015292,-39.24,0,-0.015018,0,3.9,4,0
0,-1.837e-05,-39.24,0,-0.0060609,0,4,4,1
0,-1.837e-05,-39.24,0,-0.0060609,0,4,4,0
