"kst","nut","wetDry","S","alpha","H","HU:0","HU:1","HU:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
30,0.0045223,1,0,0.3328,0.16432,0.45024,-0.0099656,0,2.74,-0.060646,0,4,0,0
30,0.0045539,1,0,0.3283,0.16688,0.46057,0,0,2.7598,0,0,4.1,0,0
30,0.0046167,1,0,0.32651,0.16837,0.46764,0,0,2.7774,0,0,4.2,0,0
30,0.0046799,1,0,0.32545,0.16969,0.47463,0,0,2.797,0,0,4.3,0,0
30,0.004745,1,0,0.32479,0.17093,0.48177,0,0,2.8185,0,0,4.4,0,0
30,0.0048112,1,0,0.32439,0.17212,0.48904,0,0,2.8412,0,0,4.5,0,0
30,0.004878,1,0,0.32421,0.17327,0.49636,0,0,2.8646,0,0,4.6,0,0
30,0.0049451,1,0,0.32419,0.17437,0.50371,0,0,2.8887,0,0,4.7,0,0
30,0.005013,1,0,0.3243,0.17544,0.51114,0,0,2.9134,0,0,4.8,0,0
30,0.005082,1,0,0.32449,0.17651,0.51868,0,0,2.9385,0,0,4.9,0,0
30,0.0051521,1,0,0.32473,0.17756,0.52634,0,0,2.9642,0,0,5,0,0
30,0.0052231,1,0,0.32504,0.17861,0.5341,0,0,2.9903,0,0,5.1,0,0
30,0.0052943,1,0,0.32542,0.17963,0.54189,0,0,3.0167,0,0,5.2,0,0
30,0.005365,1,0,0.32591,0.18061,0.54963,0,0,3.0432,0,0,5.3,0,0
30,0.0054345,1,0,0.32653,0.18153,0.55724,0,0,3.0697,0,0,5.4,0,0
30,0.0055019,1,0,0.3273,0.18237,0.56463,0,0,3.096,0,0,5.5,0,0
30,0.0055668,1,0,0.32824,0.18312,0.57172,0,0,3.122,0,0,5.6,0,0
30,0.0056285,1,0,0.32934,0.18378,0.57845,0,0,3.1476,0,0,5.7,0,0
30,0.0056869,1,0,0.33062,0.18433,0.58479,0,0,3.1726,0,0,5.8,0,0
30,0.0057417,1,0,0.33206,0.18478,0.59073,0,0,3.1969,0,0,5.9,0,0
