"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.98774,1458.7,974.17,2.8095,-0.11229,3.7207e-24,4,0,0
0.80638,1345.3,642.93,2.8424,-0.1628,3.7207e-24,4,0.1,0
0.80638,1345.3,642.93,2.8424,-0.1628,3.7207e-24,4,0.1,1
0.98774,1458.7,974.17,2.8095,-0.11229,3.7207e-24,4,0,1
0.31251,619.48,158.12,2.988,-0.30042,4.8921e-21,4,0.2,0
0.31251,619.48,158.12,2.988,-0.30042,4.8921e-21,4,0.2,1
3.8607e-06,6.8679,3.9141,2.7251,-0.3495,1.887e-20,4,0.3,0
3.8607e-06,6.8679,3.9141,2.7251,-0.3495,1.887e-20,4,0.3,1
0.00010677,7.0421,2.6486,1.833,-0.51544,1.398e-20,4,0.4,0
0.00010677,7.0421,2.6486,1.833,-0.51544,1.398e-20,4,0.4,1
0.00022,7.1952,1.2077,0.90914,-0.73924,3.7563e-20,4,0.5,0
0.00022,7.1952,1.2077,0.90914,-0.73924,3.7563e-20,4,0.5,1
0.00018063,6.6013,-0.323,0.20115,-0.74314,6.948e-20,4,0.6,0
0.00018063,6.6013,-0.323,0.20115,-0.74314,6.948e-20,4,0.6,1
6.6015e-05,5.5905,-1.697,-0.18346,-0.69649,3.1917e-20,4,0.7,0
6.6015e-05,5.5905,-1.697,-0.18346,-0.69649,3.1917e-20,4,0.7,1
8.7001e-13,4.8928,-2.9552,-0.20736,-0.635,4.1939e-28,4,0.8,0
8.7001e-13,4.8928,-2.9552,-0.20736,-0.635,4.1939e-28,4,0.8,1
1.2831e-12,4.6519,-4.1771,-0.11207,-0.58048,5.1583e-36,4,0.9,0
1.2831e-12,4.6519,-4.1771,-0.11207,-0.58048,5.1583e-36,4,0.9,1
1.7458e-12,4.4197,-5.3903,-0.084898,-0.53725,7.5652e-36,4,1,0
1.7458e-12,4.4197,-5.3903,-0.084898,-0.53725,7.5652e-36,4,1,1
1.4051e-12,4.1975,-6.5935,-0.090697,-0.4994,5.6852e-20,4,1.1,0
1.4051e-12,4.1975,-6.5935,-0.090697,-0.4994,5.6852e-20,4,1.1,1
5.5468e-13,3.9859,-7.7861,-0.084102,-0.46821,1.1117e-19,4,1.2,0
5.5468e-13,3.9859,-7.7861,-0.084102,-0.46821,1.1117e-19,4,1.2,1
4.9096e-14,3.7841,-8.9689,-0.076251,-0.44388,5.4316e-20,4,1.3,0
4.9096e-14,3.7841,-8.9689,-0.076251,-0.44388,5.4316e-20,4,1.3,1
1.8442e-15,3.5914,-10.143,-0.069585,-0.42331,1.185e-38,4,1.4,0
1.8442e-15,3.5914,-10.143,-0.069585,-0.42331,1.185e-38,4,1.4,1
6.6574e-17,3.4067,-11.308,-0.063847,-0.40665,8.3328e-40,4,1.5,0
6.6574e-17,3.4067,-11.308,-0.063847,-0.40665,8.3328e-40,4,1.5,1
1.6295e-18,3.2292,-12.467,-0.058618,-0.39269,4.1665e-40,4,1.6,0
1.6295e-18,3.2292,-12.467,-0.058618,-0.39269,4.1665e-40,4,1.6,1
2.5085e-20,3.0582,-13.619,-0.053908,-0.381,7.0065e-45,4,1.7,0
2.5085e-20,3.0582,-13.619,-0.053908,-0.381,7.0065e-45,4,1.7,1
6.0613e-22,2.8931,-14.765,-0.049657,-0.37112,4.2039e-45,4,1.8,0
6.0613e-22,2.8931,-14.765,-0.049657,-0.37112,4.2039e-45,4,1.8,1
1.8879e-23,2.7332,-15.906,-0.045793,-0.36271,0,4,1.9,0
1.8879e-23,2.7332,-15.906,-0.045793,-0.36271,0,4,1.9,1
5.59e-25,2.578,-17.042,-0.042246,-0.35549,0,4,2,0
5.59e-25,2.578,-17.042,-0.042246,-0.35549,0,4,2,1
1.5946e-26,2.4269,-18.174,-0.03895,-0.34929,0,4,2.1,0
1.5946e-26,2.4269,-18.174,-0.03895,-0.34929,0,4,2.1,1
4.4933e-28,2.2796,-19.302,-0.03585,-0.34395,0,4,2.2,0
4.4933e-28,2.2796,-19.302,-0.03585,-0.34395,0,4,2.2,1
1.2453e-29,2.1356,-20.427,-0.032906,-0.33939,7.6728e-20,4,2.3,0
1.2453e-29,2.1356,-20.427,-0.032906,-0.33939,7.6728e-20,4,2.3,1
3.3797e-31,1.9946,-21.549,-0.030094,-0.33553,1.5204e-19,4,2.4,0
3.3797e-31,1.9946,-21.549,-0.030094,-0.33553,1.5204e-19,4,2.4,1
8.9575e-33,1.8562,-22.669,-0.027398,-0.33234,7.5315e-20,4,2.5,0
8.9575e-33,1.8562,-22.669,-0.027398,-0.33234,7.5315e-20,4,2.5,1
2.312e-34,1.7202,-23.786,-0.024814,-0.32976,0,4,2.6,0
2.312e-34,1.7202,-23.786,-0.024814,-0.32976,0,4,2.6,1
5.811e-36,1.5863,-24.901,-0.022348,-0.32777,0,4,2.7,0
5.811e-36,1.5863,-24.901,-0.022348,-0.32777,0,4,2.7,1
1.4233e-37,1.4543,-26.014,-0.020035,-0.32635,-1.421e-19,4,2.8,0
1.4233e-37,1.4543,-26.014,-0.020035,-0.32635,-1.421e-19,4,2.8,1
3.4007e-39,1.3239,-27.125,-0.017912,-0.32548,-2.8264e-19,4,2.9,0
3.4007e-39,1.3239,-27.125,-0.017912,-0.32548,-2.8264e-19,4,2.9,1
7.9363e-41,1.195,-28.235,-0.015951,-0.32516,-1.4054e-19,4,3,0
7.9363e-41,1.195,-28.235,-0.015951,-0.32516,-1.4054e-19,4,3,1
1.8119e-42,1.0674,-29.344,-0.013951,-0.32539,0,4,3.1,0
1.8119e-42,1.0674,-29.344,-0.013951,-0.32539,0,4,3.1,1
4.0638e-44,0.94089,-30.451,-0.011565,-0.32604,1.3696e-19,4,3.2,0
4.0638e-44,0.94089,-30.451,-0.011565,-0.32604,1.3696e-19,4,3.2,1
1.4013e-45,0.81534,-31.558,-0.0085905,-0.32674,2.7303e-19,4,3.3,0
1.4013e-45,0.81534,-31.558,-0.0085905,-0.32674,2.7303e-19,4,3.3,1
0,0.69065,-32.663,-0.0053114,-0.32708,1.3607e-19,4,3.4,0
0,0.69065,-32.663,-0.0053114,-0.32708,1.3607e-19,4,3.4,1
0,0.56654,-33.768,-0.0024661,-0.32716,-6.7552e-20,4,3.5,0
0,0.56654,-33.768,-0.0024661,-0.32716,-6.7552e-20,4,3.5,1
0,0.44281,-34.873,-0.00069367,-0.32721,-1.3474e-19,4,3.6,0
0,0.44281,-34.873,-0.00069367,-0.32721,-1.3474e-19,4,3.6,1
0,0.31976,-35.977,1.7506e-06,-0.32645,-2.0083e-19,4,3.7,0
0,0.31976,-35.977,1.7506e-06,-0.32645,-2.0083e-19,4,3.7,1
