"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,-0.098781,-39.339,0,-0.44447,0,0,4,0
0,-0.098781,-39.339,0,-0.44447,0,0,4,1
0,-0.098492,-39.338,0,-0.44382,0,0.1,4,1
0,-0.098492,-39.338,0,-0.44382,0,0.1,4,0
0,-0.097469,-39.337,0,-0.4415,0,0.2,4,1
0,-0.097469,-39.337,0,-0.4415,0,0.2,4,0
0,-0.095637,-39.336,0,-0.43733,0,0.3,4,1
0,-0.095637,-39.336,0,-0.43733,0,0.3,4,0
0,-0.093082,-39.333,0,-0.43144,0,0.4,4,1
0,-0.093082,-39.333,0,-0.43144,0,0.4,4,0
0,-0.089831,-39.33,0,-0.42383,0,0.5,4,1
0,-0.089831,-39.33,0,-0.42383,0,0.5,4,0
0,-0.08592,-39.326,0,-0.41449,0,0.6,4,1
0,-0.08592,-39.326,0,-0.41449,0,0.6,4,0
0,-0.081392,-39.321,0,-0.40341,0,0.7,4,1
0,-0.081392,-39.321,0,-0.40341,0,0.7,4,0
0,-0.0763,-39.316,0,-0.39057,0,0.8,4,1
0,-0.0763,-39.316,0,-0.39057,0,0.8,4,0
0,-0.070705,-39.311,0,-0.37595,0,0.9,4,1
0,-0.070705,-39.311,0,-0.37595,0,0.9,4,0
0,-0.06468,-39.305,0,-0.35955,0,1,4,1
0,-0.06468,-39.305,0,-0.35955,0,1,4,0
0,-0.058308,-39.298,0,-0.34134,0,1.1,4,1
0,-0.058308,-39.298,0,-0.34134,0,1.1,4,0
0,-0.051679,-39.292,0,-0.32131,0,1.2,4,1
0,-0.051679,-39.292,0,-0.32131,0,1.2,4,0
0,-0.044899,-39.285,0,-0.29943,0,1.3,4,1
0,-0.044899,-39.285,0,-0.29943,0,1.3,4,0
0,-0.038082,-39.278,0,-0.27568,0,1.4,4,1
0,-0.038082,-39.278,0,-0.27568,0,1.4,4,0
0,-0.031351,-39.271,0,-0.25003,0,1.5,4,1
0,-0.031351,-39.271,0,-0.25003,0,1.5,4,0
0,-0.024845,-39.265,0,-0.22243,0,1.6,4,1
0,-0.024845,-39.265,0,-0.22243,0,1.6,4,0
0,-0.018712,-39.259,0,-0.19283,0,1.7,4,1
0,-0.018712,-39.259,0,-0.19283,0,1.7,4,0
0,-0.013117,-39.253,0,-0.16112,0,1.8,4,1
0,-0.013117,-39.253,0,-0.16112,0,1.8,4,0
0,-0.0082432,-39.248,0,-0.12718,0,1.9,4,1
0,-0.0082432,-39.248,0,-0.12718,0,1.9,4,0
0,-0.0043025,-39.244,0,-0.090816,0,2,4,1
0,-0.0043025,-39.244,0,-0.090816,0,2,4,0
0,-0.0015453,-39.242,0,-0.051756,0,2.1,4,1
0,-0.0015453,-39.242,0,-0.051756,0,2.1,4,0
0,-0.00024848,-39.24,-0.010988,-0.0095685,0,2.2,4,1
0,-0.00024848,-39.24,-0.010988,-0.0095685,0,2.2,4,0
0,0,-39.24,-0.023265,0.036225,0,2.3,4,1
0,0,-39.24,-0.023265,0.036225,0,2.3,4,0
0,0,-39.24,-0.026297,0.086024,0,2.4,4,1
0,0,-39.24,-0.026297,0.086024,0,2.4,4,0
0,0,-39.24,-0.030435,0.14033,0,2.5,4,1
0,0,-39.24,-0.030435,0.14033,0,2.5,4,0
0,0,-39.24,-0.036143,0.19993,0,2.6,4,1
0,0,-39.24,-0.036143,0.19993,0,2.6,4,0
0,0,-39.24,-0.044111,0.26606,0,2.7,4,1
0,0,-39.24,-0.044111,0.26606,0,2.7,4,0
0,0,-39.24,-0.055458,0.34046,-2.0268e-19,2.8,4,1
0,0,-39.24,-0.055458,0.34046,-2.0268e-19,2.8,4,0
0,0,-39.24,-0.07214,0.42568,-6.6583e-19,2.9,4,1
0,0,-39.24,-0.07214,0.42568,-6.6583e-19,2.9,4,0
0,0,-39.24,-0.097691,0.52541,-1.0024e-18,3,4,1
0,0,-39.24,-0.097691,0.52541,-1.0024e-18,3,4,0
0,0,-39.24,-0.13879,0.6449,-1.1813e-18,3.1,4,1
0,0,-39.24,-0.13879,0.6449,-1.1813e-18,3.1,4,0
0,0,-39.24,-0.20846,0.79182,-1.0358e-18,3.2,4,1
0,0,-39.24,-0.20846,0.79182,-1.0358e-18,3.2,4,0
0,0,-39.24,-0.33017,0.97818,-3.9371e-19,3.3,4,1
0,0,-39.24,-0.33017,0.97818,-3.9371e-19,3.3,4,0
0,0,-39.24,-0.54805,1.224,0,3.4,4,1
0,0,-39.24,-0.54805,1.224,0,3.4,4,0
0,0,-39.24,-0.96252,1.5241,0,3.5,4,1
0,0,-39.24,-0.96252,1.5241,0,3.5,4,0
0,0,-39.24,-1.659,1.7692,0,3.6,4,1
0,0,-39.24,-1.659,1.7692,0,3.6,4,0
0,0,-39.24,-2.5052,1.8447,0,3.7,4,1
0,0,-39.24,-2.5052,1.8447,0,3.7,4,0
0,0,-39.24,-3.2766,1.8034,0,3.8,4,1
0,0,-39.24,-3.2766,1.8034,0,3.8,4,0
0,0,-39.24,-3.8512,1.7746,0,3.9,4,1
0,0,-39.24,-3.8512,1.7746,0,3.9,4,0
0,0,-39.24,-4.0783,1.7766,0,4,4,1
0,0,-39.24,-4.0783,1.7766,0,4,4,0
