"kst","nut","wetDry","S","alpha","H","HU:0","HU:1","HU:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
30,0.0058095,1,0,0.32309,0.18701,0.59069,-0.014742,-8.5087e-23,3.1586,-0.078831,-4.5499e-22,4,0,0
30,0.0058578,1,0,0.32366,0.18866,0.60414,0,0,3.2022,0,0,4.1,0,0
30,0.0059538,1,0,0.32316,0.19022,0.61489,0,0,3.2325,0,0,4.2,0,0
30,0.0060478,1,0,0.32292,0.19167,0.62542,0,0,3.263,0,0,4.3,0,0
30,0.0061386,1,0,0.32293,0.19299,0.6356,0,0,3.2933,0,0,4.4,0,0
30,0.0062252,1,0,0.3232,0.19418,0.64529,0,0,3.3232,0,0,4.5,0,0
30,0.0063066,1,0,0.32375,0.1952,0.65439,0,0,3.3525,0,0,4.6,0,0
30,0.0063823,1,0,0.32463,0.19604,0.66281,0,0,3.381,0,0,4.7,0,0
30,0.0064519,1,0,0.32586,0.19669,0.67051,0,0,3.409,0,0,4.8,0,0
30,0.0065156,1,0,0.32746,0.19714,0.67748,0,0,3.4365,0,0,4.9,0,0
30,0.0065737,1,0,0.32941,0.19742,0.68377,0,0,3.4636,0,0,5,0,0
30,0.0066269,1,0,0.33169,0.19753,0.68944,0,0,3.4903,0,0,5.1,0,0
30,0.0066759,1,0,0.33424,0.19751,0.69458,0,0,3.5166,0,0,5.2,0,0
30,0.0067212,1,0,0.337,0.19738,0.69927,0,0,3.5427,0,0,5.3,0,0
30,0.0067633,1,0,0.33993,0.19717,0.70358,0,0,3.5684,0,0,5.4,0,0
30,0.0068027,1,0,0.34297,0.19689,0.70755,0,0,3.5936,0,0,5.5,0,0
30,0.0068396,1,0,0.3461,0.19656,0.71122,0,0,3.6183,0,0,5.6,0,0
30,0.0068739,1,0,0.34928,0.19619,0.7146,0,0,3.6424,0,0,5.7,0,0
30,0.0069057,1,0,0.3525,0.19578,0.7177,0,0,3.6658,0,0,5.8,0,0
30,0.0069351,1,0,0.35574,0.19534,0.72053,0,0,3.6885,0,0,5.9,0,0
30,0.0069621,1,0,0.35899,0.19487,0.72308,0,0,3.7105,0,0,6,0,0
30,0.0069867,1,0,0.36226,0.19438,0.72538,0,0,3.7317,0,0,6.1,0,0
30,0.0070093,1,0,0.36553,0.19387,0.72744,0,0,3.7522,0,0,6.2,0,0
30,0.0070301,1,0,0.36879,0.19334,0.72929,0,0,3.7721,0,0,6.3,0,0
30,0.0070495,1,0,0.37203,0.19281,0.73099,0,0,3.7913,0,0,6.4,0,0
30,0.0070679,1,0,0.37523,0.19228,0.73259,0,0,3.81,0,0,6.5,0,0
30,0.007086,1,0,0.37836,0.19177,0.73414,0,0,3.8282,0,0,6.6,0,0
30,0.0071042,1,0,0.3814,0.19129,0.73571,0,0,3.8461,0,0,6.7,0,0
30,0.0071232,1,0,0.38431,0.19085,0.73739,0,0,3.8636,0,0,6.8,0,0
30,0.0071437,1,0,0.38705,0.19048,0.73924,0,0,3.881,0,0,6.9,0,0
30,0.0071663,1,0,0.38959,0.19018,0.74134,0,0,3.8981,0,0,7,0,0
30,0.0071916,1,0,0.39187,0.18997,0.74378,0,0,3.9152,0,0,7.1,0,0
30,0.0072209,1,0,0.39376,0.1899,0.74671,0,0,3.9321,0,0,7.2,0,0
30,0.007261,1,0,0.39408,0.19033,0.75111,0,0,3.9464,0,0,7.3,0,0
30,0.0073846,1,0,0.37987,0.19536,0.7676,0,0,3.9296,0,0,7.4,0,0
30,0.0080754,1,0,0.27454,0.24886,0.86751,0,0,3.555,0,0,7.5,0,0
30,0.0056544,1,0,0.093608,0.64005,0.14936,0,0,1.2682,0,0,7.6,0,0
30,0.0093241,1,0,0.00741,1.2141,-1.3827,0,0,-1.0632,0,0,7.7,0,0
30,0.010498,1,0,0.015975,1.0252,-0.73043,0,0,-0.19273,0,0,7.8,0,0
30,0.0065593,1,0,0.016178,0.8307,0.83124,0,0,1.0164,0,0,7.9,0,0
30,0.0081287,1,0,0,1.0567,0,0,0,0,0,0,8,0,0
30,0.0058095,1,0,0.32309,0.18701,0.59069,-0.014742,-8.5087e-23,3.1586,-0.078831,-4.5499e-22,4,4,0
30,0.0058578,1,0,0.32366,0.18866,0.60414,0,0,3.2022,0,0,4.1,4,0
30,0.0059538,1,0,0.32316,0.19022,0.61489,0,0,3.2325,0,0,4.2,4,0
30,0.0060478,1,0,0.32292,0.19167,0.62542,0,0,3.263,0,0,4.3,4,0
30,0.0061386,1,0,0.32293,0.19299,0.6356,0,0,3.2933,0,0,4.4,4,0
30,0.0062252,1,0,0.3232,0.19418,0.64529,0,0,3.3232,0,0,4.5,4,0
30,0.0063066,1,0,0.32375,0.1952,0.65439,0,0,3.3525,0,0,4.6,4,0
30,0.0063823,1,0,0.32463,0.19604,0.66281,0,0,3.381,0,0,4.7,4,0
30,0.0064519,1,0,0.32586,0.19669,0.67051,0,0,3.409,0,0,4.8,4,0
30,0.0065156,1,0,0.32746,0.19714,0.67748,0,0,3.4365,0,0,4.9,4,0
30,0.0065737,1,0,0.32941,0.19742,0.68377,0,0,3.4636,0,0,5,4,0
30,0.0066269,1,0,0.33169,0.19753,0.68944,0,0,3.4903,0,0,5.1,4,0
