"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,11585,11585,0,0,0,-8,0,0
1,11611,11611,0,0,0,-7.9,0,0
1,11611,11611,0,0,0,-7.9,0,1
1,11585,11585,0,0,0,-8,0,1
1,11707,11707,0,0,0,-7.8,0,0
1,11707,11707,0,0,0,-7.8,0,1
1,11835,11835,0,0,0,-7.7,0,0
1,11835,11835,0,0,0,-7.7,0,1
1,11940,11940,0,0,0,-7.6,0,0
1,11940,11940,0,0,0,-7.6,0,1
1,12014,12014,0,0,0,-7.5,0,0
1,12014,12014,0,0,0,-7.5,0,1
1,12054,12054,0,0,0,-7.4,0,0
1,12054,12054,0,0,0,-7.4,0,1
1,12071,12071,0,0,0,-7.3,0,0
1,12071,12071,0,0,0,-7.3,0,1
1,12081,12081,0,0,0,-7.2,0,0
1,12081,12081,0,0,0,-7.2,0,1
1,12096,12096,0,0,0,-7.1,0,0
1,12096,12096,0,0,0,-7.1,0,1
1,12120,12120,0,0,0,-7,0,0
1,12120,12120,0,0,0,-7,0,1
1,12156,12156,0,0,0,-6.9,0,0
1,12156,12156,0,0,0,-6.9,0,1
1,12203,12203,0,0,0,-6.8,0,0
1,12203,12203,0,0,0,-6.8,0,1
1,12256,12256,0,0,0,-6.7,0,0
1,12256,12256,0,0,0,-6.7,0,1
1,12312,12312,0,0,0,-6.6,0,0
1,12312,12312,0,0,0,-6.6,0,1
1,12368,12368,0,0,0,-6.5,0,0
1,12368,12368,0,0,0,-6.5,0,1
1,12421,12421,0,0,0,-6.4,0,0
1,12421,12421,0,0,0,-6.4,0,1
1,12469,12469,0,0,0,-6.3,0,0
1,12469,12469,0,0,0,-6.3,0,1
1,12510,12510,0,0,0,-6.2,0,0
1,12510,12510,0,0,0,-6.2,0,1
1,12544,12544,0,0,0,-6.1,0,0
1,12544,12544,0,0,0,-6.1,0,1
1,12570,12570,0,0,0,-6,0,0
1,12570,12570,0,0,0,-6,0,1
1,12589,12589,0,0,0,-5.9,0,0
1,12589,12589,0,0,0,-5.9,0,1
1,12601,12601,0,0,0,-5.8,0,0
1,12601,12601,0,0,0,-5.8,0,1
1,12606,12606,0,0,0,-5.7,0,0
1,12606,12606,0,0,0,-5.7,0,1
1,12604,12604,0,0,0,-5.6,0,0
1,12604,12604,0,0,0,-5.6,0,1
1,12596,12596,0,0,0,-5.5,0,0
1,12596,12596,0,0,0,-5.5,0,1
1,12582,12582,0,0,0,-5.4,0,0
1,12582,12582,0,0,0,-5.4,0,1
1,12563,12563,0,0,0,-5.3,0,0
1,12563,12563,0,0,0,-5.3,0,1
1,12538,12538,0,0,0,-5.2,0,0
1,12538,12538,0,0,0,-5.2,0,1
