"kst","nut","wetDry","S","alpha","H","HU:0","HU:1","HU:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
30,0.021017,1,0,0.30422,0.35201,2.4353,-0.03573,-3.6639e-22,6.9185,-0.1015,-1.0409e-21,4,0,0
30,0.020962,1,0,0.31243,0.34588,2.4023,0,0,6.9455,0,0,4.1,0,0
30,0.020873,1,0,0.31451,0.34406,2.3898,0,0,6.946,0,0,4.2,0,0
30,0.020816,1,0,0.3149,0.34336,2.3823,0,0,6.9382,0,0,4.3,0,0
30,0.020773,1,0,0.31468,0.3431,2.3768,0,0,6.9273,0,0,4.4,0,0
30,0.020724,1,0,0.31488,0.34262,2.3704,0,0,6.9184,0,0,4.5,0,0
30,0.020656,1,0,0.31616,0.34149,2.3612,0,0,6.9144,0,0,4.6,0,0
30,0.020561,1,0,0.3188,0.33951,2.3482,0,0,6.9165,0,0,4.7,0,0
30,0.02044,1,0,0.32279,0.3367,2.3314,0,0,6.9241,0,0,4.8,0,0
30,0.020295,1,0,0.32789,0.33323,2.3111,0,0,6.9356,0,0,4.9,0,0
30,0.020132,1,0,0.3338,0.32931,2.2884,0,0,6.949,0,0,5,0,0
30,0.019956,1,0,0.34018,0.32515,2.2639,0,0,6.9627,0,0,5.1,0,0
30,0.01977,1,0,0.34677,0.32091,2.2383,0,0,6.9749,0,0,5.2,0,0
30,0.019579,1,0,0.35336,0.31672,2.2122,0,0,6.9846,0,0,5.3,0,0
30,0.019382,1,0,0.35981,0.31264,2.1857,0,0,6.991,0,0,5.4,0,0
30,0.019182,1,0,0.36606,0.30869,2.1589,0,0,6.9938,0,0,5.5,0,0
30,0.018978,1,0,0.37208,0.30487,2.1319,0,0,6.9929,0,0,5.6,0,0
30,0.01877,1,0,0.37784,0.30119,2.1048,0,0,6.9882,0,0,5.7,0,0
30,0.018561,1,0,0.3833,0.29766,2.0776,0,0,6.9798,0,0,5.8,0,0
30,0.018351,1,0,0.3884,0.2943,2.0505,0,0,6.9676,0,0,5.9,0,0
30,0.018141,1,0,0.39303,0.29114,2.0238,0,0,6.9512,0,0,6,0,0
30,0.017932,1,0,0.39706,0.28823,1.9976,0,0,6.9303,0,0,6.1,0,0
30,0.017725,1,0,0.40035,0.2856,1.9719,0,0,6.9044,0,0,6.2,0,0
30,0.017518,1,0,0.40283,0.28324,1.9466,0,0,6.8726,0,0,6.3,0,0
30,0.017304,1,0,0.40455,0.28109,1.9211,0,0,6.8344,0,0,6.4,0,0
30,0.017075,1,0,0.40573,0.27901,1.8943,0,0,6.7891,0,0,6.5,0,0
30,0.016815,1,0,0.40682,0.27674,1.8642,0,0,6.7362,0,0,6.6,0,0
30,0.016502,1,0,0.4086,0.27387,1.8283,0,0,6.6754,0,0,6.7,0,0
30,0.016108,1,0,0.41219,0.26986,1.7829,0,0,6.6062,0,0,6.8,0,0
30,0.015598,1,0,0.41916,0.26402,1.7237,0,0,6.528,0,0,6.9,0,0
30,0.014929,1,0,0.43167,0.25552,1.6456,0,0,6.4392,0,0,7,0,0
30,0.014056,1,0,0.4529,0.24345,1.5431,0,0,6.3371,0,0,7.1,0,0
30,0.012933,1,0,0.48781,0.22693,1.4113,0,0,6.2167,0,0,7.2,0,0
30,0.011524,1,0,0.54484,0.20521,1.2467,0,0,6.0704,0,0,7.3,0,0
30,0.0098196,1,0,0.63985,0.17797,1.0493,0,0,5.887,0,0,7.4,0,0
30,0.0078591,1,0,0.80565,0.14569,0.82561,0,0,5.6509,0,0,7.5,0,0
30,0.005756,1,0,1.1189,0.11005,0.59096,0,0,5.3402,0,0,7.6,0,0
30,0.0037083,1,0,1.7898,0.074192,0.36955,0,0,4.9247,0,0,7.7,0,0
30,0.0019702,1,0,3.5368,0.042385,0.18943,0,0,4.3588,0,0,7.8,0,0
30,0.00077845,1,0,8.7629,0.019377,0.073155,0,0,3.5668,0,0,7.9,0,0
30,0.00034459,1,0,0,0.010677,0,0,0,0,0,0,8,0,0
