"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99994,2455.9,2210.7,0,0,0,0,0,0
0.99994,2447.4,2447.4,0,0,0,0.1,0,0
0.99992,2429,2429,0,0,0,0.2,0,0
0.99988,2417.2,2417.2,0,0,0,0.3,0,0
0.99982,2422.1,2422.1,0,0,0,0.4,0,0
0.99979,2443,2443,0,0,0,0.5,0,0
0.99977,2476.8,2476.8,0,0,0,0.6,0,0
0.99976,2515.1,2515.1,0,0,0,0.7,0,0
0.99974,2545.1,2545.1,0,0,0,0.8,0,0
0.99972,2556.5,2556.5,0,0,0,0.9,0,0
0.99969,2550,2550,0,0,0,1,0,0
0.99967,2534.2,2534.2,0,0,0,1.1,0,0
0.99965,2516.5,2516.5,0,0,0,1.2,0,0
0.99964,2500.1,2500.1,0,0,0,1.3,0,0
0.99964,2484.7,2484.7,0,0,0,1.4,0,0
0.99963,2469.7,2469.7,0,0,0,1.5,0,0
0.99963,2454.3,2454.3,0,0,0,1.6,0,0
0.99962,2437.5,2437.5,0,0,0,1.7,0,0
0.9996,2418.7,2418.7,0,0,0,1.8,0,0
0.99959,2397.8,2397.8,0,0,0,1.9,0,0
0.99956,2376,2376,0,0,0,2,0,0
0.99954,2354.6,2354.6,0,0,0,2.1,0,0
0.9995,2334.1,2334.1,0,0,0,2.2,0,0
0.99946,2314.7,2314.7,0,0,0,2.3,0,0
0.9994,2295.6,2295.6,0,0,0,2.4,0,0
0.99935,2276.3,2276.3,0,0,0,2.5,0,0
0.99928,2256.3,2256.3,0,0,0,2.6,0,0
0.99921,2235.4,2235.4,0,0,0,2.7,0,0
0.99914,2213.4,2213.4,0,0,0,2.8,0,0
0.99905,2190.4,2190.4,0,0,0,2.9,0,0
0.99896,2166.6,2166.6,0,0,0,3,0,0
0.99885,2142.6,2142.6,0,0,0,3.1,0,0
0.99874,2118.9,2118.9,0,0,0,3.2,0,0
0.99861,2096,2096,0,0,0,3.3,0,0
0.99847,2074.5,2074.5,0,0,0,3.4,0,0
0.99831,2054.8,2054.8,0,0,0,3.5,0,0
0.99814,2036.7,2036.7,0,0,0,3.6,0,0
0.99794,2021.7,2021.7,0,0,0,3.7,0,0
0.99772,2006.9,2006.9,0,0,0,3.8,0,0
0.99747,2013.7,2013.7,0,0,0,3.9,0,0
0.99734,2028.9,1784.3,1.6004,-0.010384,0,4,0,0
0.99981,2458.8,1478.1,0,0,0,0,0.1,0
0.99791,2444.1,1466.1,0.095259,-0.044394,0,0.1,0.1,0
0.99298,2410.5,1439.8,0.23156,-0.056589,0,0.2,0.1,0
0.99054,2392.1,1424.9,0.34993,-0.053696,0,0.3,0.1,0
0.9929,2406.4,1435.8,0.43729,-0.051579,0,0.4,0.1,0
0.99627,2438.7,1463,0.50036,-0.066793,0,0.5,0.1,0
0.99858,2475.8,1496.7,0.56742,-0.10053,0,0.6,0.1,0
0.99943,2509.4,1529.1,0.65357,-0.13577,-4.5621e-22,0.7,0.1,0
0.99952,2531.8,1551.4,0.75642,-0.15523,-1.5393e-21,0.8,0.1,0
0.99928,2538.1,1558,0.86628,-0.1547,-1.0831e-21,0.9,0.1,0
0.99895,2530.7,1551.1,0.97316,-0.14079,0,1,0.1,0
0.99869,2517.2,1538,1.0709,-0.12206,1.0181e-21,1.1,0.1,0
0.99857,2503,1523.9,1.1588,-0.10476,1.8263e-21,1.2,0.1,0
0.9985,2489.4,1510.5,1.2393,-0.091673,8.082e-22,1.3,0.1,0
0.99838,2475.9,1497.1,1.3159,-0.083223,0,1.4,0.1,0
0.99816,2461.7,1483.3,1.3915,-0.078744,0,1.5,0.1,0
0.99778,2446.4,1468.5,1.4682,-0.076992,0,1.6,0.1,0
0.99718,2429.4,1452.3,1.5465,-0.076473,0,1.7,0.1,0
