"kst","nut","wetDry","S","alpha","H","HU:0","HU:1","HU:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
30,0.0036282,1,0,0.18019,0.19837,0.37757,-0.00771,5.0788e-28,1.9034,-0.038868,2.5603e-27,4,0,0
30,0.0036434,1,0,0.23879,0.17462,0.37102,0,0,2.1258,0,0,4.1,0,0
30,0.0036611,1,0,0.2656,0.16667,0.37005,0,0,2.2214,0,0,4.2,0,0
30,0.0036502,1,0,0.29637,0.15829,0.366,0,0,2.3135,0,0,4.3,0,0
30,0.0036061,1,0,0.3318,0.14947,0.35843,0,0,2.3993,0,0,4.4,0,0
30,0.0035258,1,0,0.37231,0.14033,0.34717,0,0,2.4751,0,0,4.5,0,0
30,0.0034061,1,0,0.41832,0.13095,0.33204,0,0,2.5366,0,0,4.6,0,0
30,0.0032405,1,0,0.47104,0.12123,0.31251,0,0,2.5784,0,0,4.7,0,0
30,0.0030141,1,0,0.53445,0.11074,0.28725,0,0,2.5939,0,0,4.8,0,0
30,0.0027006,1,0,0.61984,0.098542,0.25375,0,0,2.5737,0,0,4.9,0,0
30,0.0022671,1,0,0.75678,0.083331,0.20904,0,0,2.5034,0,0,5,0,0
30,0.0017015,1,0,1.0261,0.064198,0.1526,0,0,2.3619,0,0,5.1,0,0
30,0.0010601,1,0,1.6949,0.042158,0.091142,0,0,2.1216,0,0,5.2,0,0
30,0.0004852,1,0,4.0463,0.021228,0.039237,0,0,1.7478,0,0,5.3,0,0
30,0.00012486,1,0,16.749,0.0066609,0.0095233,0,0,1.131,0,0,5.4,0,0
30,6.3827e-06,0.5,0,13.793,0.00079921,0.00058412,0,0,0.36969,0,0,5.5,0,0
30,0,0,0,0,9.1986e-06,0,0,0,0,0,0,5.6,0,0
30,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0
30,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0
30,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0
30,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0
30,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0
30,0,0,0,0,0,0,0,0,0,0,0,8,0,0
30,0.0036282,1,0,0.18019,0.19837,0.37757,-0.00771,5.0788e-28,1.9034,-0.038868,2.5603e-27,4,4,0
30,0.0036434,1,0,0.23879,0.17462,0.37102,0,0,2.1258,0,0,4.1,4,0
30,0.0036611,1,0,0.2656,0.16667,0.37005,0,0,2.2214,0,0,4.2,4,0
30,0.0036502,1,0,0.29637,0.15829,0.366,0,0,2.3135,0,0,4.3,4,0
30,0.0036061,1,0,0.3318,0.14947,0.35843,0,0,2.3993,0,0,4.4,4,0
30,0.0035258,1,0,0.37231,0.14033,0.34717,0,0,2.4751,0,0,4.5,4,0
30,0.0034061,1,0,0.41832,0.13095,0.33204,0,0,2.5366,0,0,4.6,4,0
30,0.0032405,1,0,0.47104,0.12123,0.31251,0,0,2.5784,0,0,4.7,4,0
30,0.0030141,1,0,0.53445,0.11074,0.28725,0,0,2.5939,0,0,4.8,4,0
30,0.0027006,1,0,0.61984,0.098542,0.25375,0,0,2.5737,0,0,4.9,4,0
30,0.0022671,1,0,0.75678,0.083331,0.20904,0,0,2.5034,0,0,5,4,0
30,0.0017015,1,0,1.0261,0.064198,0.1526,0,0,2.3619,0,0,5.1,4,0
30,0.0010601,1,0,1.6949,0.042158,0.091142,0,0,2.1216,0,0,5.2,4,0
30,0.0004852,1,0,4.0463,0.021228,0.039237,0,0,1.7478,0,0,5.3,4,0
30,0.00012486,1,0,16.749,0.0066609,0.0095233,0,0,1.131,0,0,5.4,4,0
30,6.3827e-06,0.5,0,13.793,0.00079921,0.00058412,0,0,0.36969,0,0,5.5,4,0
30,0,0,0,0,9.1986e-06,0,0,0,0,0,0,5.6,4,0
30,0,0,0,0,0,0,0,0,0,0,0,5.7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,5.8,4,0
30,0,0,0,0,0,0,0,0,0,0,0,5.9,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.1,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.2,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.3,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.4,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.5,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.6,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.8,4,0
30,0,0,0,0,0,0,0,0,0,0,0,6.9,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.1,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.2,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.3,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.4,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.5,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.6,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.7,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.8,4,0
30,0,0,0,0,0,0,0,0,0,0,0,7.9,4,0
30,0,0,0,0,0,0,0,0,0,0,0,8,4,0
30,0.0036282,1,0,0.18019,0.19837,0.37757,-0.00771,5.0788e-28,1.9034,-0.038868,2.5603e-27,4,0,1
30,0.0036434,1,0,0.23879,0.17462,0.37102,0,0,2.1258,0,0,4.1,0,1
30,0.0036611,1,0,0.2656,0.16667,0.37005,0,0,2.2214,0,0,4.2,0,1
30,0.0036502,1,0,0.29637,0.15829,0.366,0,0,2.3135,0,0,4.3,0,1
30,0.0036061,1,0,0.3318,0.14947,0.35843,0,0,2.3993,0,0,4.4,0,1
30,0.0035258,1,0,0.37231,0.14033,0.34717,0,0,2.4751,0,0,4.5,0,1
30,0.0034061,1,0,0.41832,0.13095,0.33204,0,0,2.5366,0,0,4.6,0,1
30,0.0032405,1,0,0.47104,0.12123,0.31251,0,0,2.5784,0,0,4.7,0,1
30,0.0030141,1,0,0.53445,0.11074,0.28725,0,0,2.5939,0,0,4.8,0,1
30,0.0027006,1,0,0.61984,0.098542,0.25375,0,0,2.5737,0,0,4.9,0,1
30,0.0022671,1,0,0.75678,0.083331,0.20904,0,0,2.5034,0,0,5,0,1
