"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,29987,29742,0,0,0,-8,0,0
1,29983,29983,0,0,0,-7.9,0,0
1,29969,29969,0,0,0,-7.8,0,0
1,29945,29945,0,0,0,-7.7,0,0
1,29912,29912,0,0,0,-7.6,0,0
1,29868,29868,0,0,0,-7.5,0,0
1,29815,29815,0,0,0,-7.4,0,0
1,29750,29750,0,0,0,-7.3,0,0
1,29675,29675,0,0,0,-7.2,0,0
1,29588,29588,0,0,0,-7.1,0,0
1,29489,29489,0,0,0,-7,0,0
1,29377,29377,0,0,0,-6.9,0,0
1,29251,29251,0,0,0,-6.8,0,0
1,29110,29110,0,0,0,-6.7,0,0
1,28954,28954,0,0,0,-6.6,0,0
1,28782,28782,0,0,0,-6.5,0,0
1,28597,28597,0,0,0,-6.4,0,0
1,28395,28395,0,0,0,-6.3,0,0
1,28167,28167,0,0,0,-6.2,0,0
1,27919,27919,0,0,0,-6.1,0,0
1,27649,27649,0,0,0,-6,0,0
1,27356,27356,0,0,0,-5.9,0,0
1,27037,27037,0,0,0,-5.8,0,0
1,26692,26692,0,0,0,-5.7,0,0
1,26318,26318,0,0,0,-5.6,0,0
1,25913,25913,0,0,0,-5.5,0,0
1,25477,25477,0,0,0,-5.4,0,0
1,25005,25005,0,0,0,-5.3,0,0
1,24497,24497,0,0,0,-5.2,0,0
1,23948,23948,0,0,0,-5.1,0,0
1,23358,23358,0,0,0,-5,0,0
1,22722,22722,0,0,0,-4.9,0,0
1,22038,22038,0,0,0,-4.8,0,0
1,21302,21302,0,0,0,-4.7,0,0
1,20511,20511,0,0,0,-4.6,0,0
1,19663,19663,0,0,0,-4.5,0,0
1,18754,18754,0,0,0,-4.4,0,0
1,17780,17780,0,0,0,-4.3,0,0
1,16740,16740,0,0,0,-4.2,0,0
1,15632,15632,0,0,0,-4.1,0,0
1,14455,14455,0,0,0,-4,0,0
1,13213,13213,0,0,0,-3.9,0,0
1,11912,11912,0,0,0,-3.8,0,0
1,10565,10565,0,0,0,-3.7,0,0
1,9185.9,9185.9,0,0,0,-3.6,0,0
1,7801.5,7801.5,0,0,0,-3.5,0,0
1,6453.9,6453.9,0,0,0,-3.4,0,0
1,5199.9,5199.9,0,0,0,-3.3,0,0
1,4094.6,4094.6,0,0,0,-3.2,0,0
0.99999,3166,3166,0,0,0,-3.1,0,0
0.99996,2400.7,2400.7,0,0,0,-3,0,0
0.99976,1740.7,1740.7,0,0,0,-2.9,0,0
0.96769,1198.1,1198.1,0,0,0,-2.8,0,0
0.67161,686.07,686.07,0,0,0,-2.7,0,0
0.20999,240.48,240.48,0,0,0,-2.6,0,0
0.007175,56.399,56.399,0,0,0,-2.5,0,0
0.0010186,29.37,29.37,0,0,0,-2.4,0,0
0.00013578,22.56,22.56,0,0,0,-2.3,0,0
1.4934e-05,19.679,19.679,0,0,0,-2.2,0,0
1.395e-06,17.462,17.462,0,0,0,-2.1,0,0
1.1279e-07,15.676,15.676,0,0,0,-2,0,0
7.9673e-09,14.223,14.223,0,0,0,-1.9,0,0
4.9644e-10,12.999,12.999,0,0,0,-1.8,0,0
2.7933e-11,11.958,11.958,0,0,0,-1.7,0,0
1.8195e-12,11.063,11.063,0,0,0,-1.6,0,0
1.4082e-13,10.286,10.286,0,0,0,-1.5,0,0
9.1774e-15,9.6038,9.6038,0,0,0,-1.4,0,0
3.4667e-16,8.9995,8.9995,0,0,0,-1.3,0,0
1.1217e-17,8.4592,8.4592,0,0,0,-1.2,0,0
3.4176e-19,7.9724,7.9724,0,0,0,-1.1,0,0
9.6157e-21,7.5308,7.5308,0,0,0,-1,0,0
2.5045e-22,7.1277,7.1277,0,0,0,-0.9,0,0
6.0579e-24,6.7577,6.7577,0,0,0,-0.8,0,0
1.3645e-25,6.4164,6.4164,0,0,0,-0.7,0,0
2.8691e-27,6.1001,6.1001,0,0,0,-0.6,0,0
5.6454e-29,5.8059,5.8059,0,0,0,-0.5,0,0
1.0416e-30,5.5312,5.5312,0,0,0,-0.4,0,0
1.8055e-32,5.274,5.274,0,0,0,-0.3,0,0
2.9456e-34,5.0324,5.0324,0,0,0,-0.2,0,0
4.5301e-36,4.8051,4.8051,0,0,0,-0.1,0,0
6.5777e-38,4.5907,4.5907,0,0,0,0,0,0
9.0295e-40,4.3883,4.3883,0,0,0,0.1,0,0
1.1733e-41,4.1969,4.1969,0,0,0,0.2,0,0
1.4433e-43,4.0158,4.0158,0,0,0,0.3,0,0
1.4013e-45,3.8443,3.8443,0,0,0,0.4,0,0
0,3.6815,3.6815,0,0,0,0.5,0,0
0,3.5269,3.5269,0,0,0,0.6,0,0
0,3.3799,3.3799,0,0,0,0.7,0,0
0,3.24,3.24,0,0,0,0.8,0,0
0,3.1067,3.1067,0,0,0,0.9,0,0
0,2.9796,2.9796,0,0,0,1,0,0
0,2.8585,2.8585,0,0,0,1.1,0,0
0,2.7429,2.7429,0,0,0,1.2,0,0
0,2.6327,2.6327,0,0,0,1.3,0,0
0,2.5274,2.5274,0,0,0,1.4,0,0
0,2.4269,2.4269,0,0,0,1.5,0,0
0,2.3309,2.3309,0,0,0,1.6,0,0
0,2.239,2.239,0,0,0,1.7,0,0
0,2.1512,2.1512,0,0,0,1.8,0,0
0,2.0672,2.0672,0,0,0,1.9,0,0
0,1.9867,1.9867,0,0,0,2,0,0
0,1.9096,1.9096,0,0,0,2.1,0,0
0,1.8357,1.8357,0,0,0,2.2,0,0
0,1.7648,1.7648,0,0,0,2.3,0,0
0,1.6969,1.6969,0,0,0,2.4,0,0
0,1.6318,1.6318,0,0,0,2.5,0,0
0,1.5693,1.5693,0,0,0,2.6,0,0
0,1.5094,1.5094,0,0,0,2.7,0,0
0,1.4519,1.4519,0,0,0,2.8,0,0
0,1.3969,1.3969,0,0,0,2.9,0,0
0,1.344,1.344,0,0,0,3,0,0
0,1.2934,1.2934,0,0,0,3.1,0,0
0,1.2448,1.2448,0,0,0,3.2,0,0
0,1.1983,1.1983,0,0,0,3.3,0,0
0,1.1537,1.1537,0,0,0,3.4,0,0
0,1.1109,1.1109,0,0,0,3.5,0,0
0,1.07,1.07,0,0,0,3.6,0,0
0,1.0307,1.0307,0,0,0,3.7,0,0
0,0.99319,0.99319,0,0,0,3.8,0,0
0,0.95723,0.95723,0,0,0,3.9,0,0
0,0.92282,0.92282,0,0,0,4,0,0
0,0.88991,0.88991,0,0,0,4.1,0,0
