"alpha.water","p_rgh","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,0,0,0,0,8,0,0
0,0,0,0,0,8,0.1,0
0,0,0,0,0,8,0.1,1
0,0,0,0,0,8,0,1
0,0,0,0,0,8,0.2,0
0,0,0,0,0,8,0.2,1
0,0,0,0,0,8,0.3,0
0,0,0,0,0,8,0.3,1
0,0,0,0,0,8,0.4,0
0,0,0,0,0,8,0.4,1
0,0,0,0,0,8,0.5,0
0,0,0,0,0,8,0.5,1
0,0,0,0,0,8,0.6,0
0,0,0,0,0,8,0.6,1
0,0,0,0,0,8,0.7,0
0,0,0,0,0,8,0.7,1
0,0,0,0,0,8,0.8,0
0,0,0,0,0,8,0.8,1
0,0,0,0,0,8,0.9,0
0,0,0,0,0,8,0.9,1
0,0,0,0,0,8,1,0
0,0,0,0,0,8,1,1
0,0,0,0,0,8,1.1,0
0,0,0,0,0,8,1.1,1
0,0,0,0,0,8,1.2,0
0,0,0,0,0,8,1.2,1
0,0,0,0,0,8,1.3,0
0,0,0,0,0,8,1.3,1
0,0,0,0,0,8,1.4,0
0,0,0,0,0,8,1.4,1
0,0,0,0,0,8,1.5,0
0,0,0,0,0,8,1.5,1
0,0,0,0,0,8,1.6,0
0,0,0,0,0,8,1.6,1
0,0,0,0,0,8,1.7,0
0,0,0,0,0,8,1.7,1
0,0,0,0,0,8,1.8,0
0,0,0,0,0,8,1.8,1
0,0,0,0,0,8,1.9,0
0,0,0,0,0,8,1.9,1
0,0,0,0,0,8,2,0
0,0,0,0,0,8,2,1
0,0,0,0,0,8,2.1,0
0,0,0,0,0,8,2.1,1
0,0,0,0,0,8,2.2,0
0,0,0,0,0,8,2.2,1
0,0,0,0,0,8,2.3,0
0,0,0,0,0,8,2.3,1
0,0,0,0,0,8,2.4,0
0,0,0,0,0,8,2.4,1
0,0,0,0,0,8,2.5,0
0,0,0,0,0,8,2.5,1
0,0,0,0,0,8,2.6,0
0,0,0,0,0,8,2.6,1
0,0,0,0,0,8,2.7,0
0,0,0,0,0,8,2.7,1
0,0,0,0,0,8,2.8,0
0,0,0,0,0,8,2.8,1
0,0,0,0,0,8,2.9,0
0,0,0,0,0,8,2.9,1
0,0,0,0,0,8,3,0
0,0,0,0,0,8,3,1
0,0,0,0,0,8,3.1,0
0,0,0,0,0,8,3.1,1
0,0,0,0,0,8,3.2,0
0,0,0,0,0,8,3.2,1
0,0,0,0,0,8,3.3,0
0,0,0,0,0,8,3.3,1
0,0,0,0,0,8,3.4,0
0,0,0,0,0,8,3.4,1
0,0,0,0,0,8,3.5,0
0,0,0,0,0,8,3.5,1
0,0,0,0,0,8,3.6,0
0,0,0,0,0,8,3.6,1
0,0,0,0,0,8,3.7,0
0,0,0,0,0,8,3.7,1
0,0,0,0,0,8,3.8,0
0,0,0,0,0,8,3.8,1
0,0,0,0,0,8,3.9,0
0,0,0,0,0,8,3.9,1
0,0,0,0,0,8,4,0
0,0,0,0,0,8,4,1
