"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99282,31590,31103,0,0,0,0,0,0
0.99282,31590,31103,0,0,0,0,0,1
0.9954,30998,30020,0,0,0,0,0.1,1
0.9954,30998,30020,0,0,0,0,0.1,0
0.99802,29837,27879,0,0,0,0,0.2,1
0.99802,29837,27879,0,0,0,0,0.2,0
0.99832,29266,26328,0,0,0,0,0.3,1
0.99832,29266,26328,0,0,0,0,0.3,0
0.99924,29922,26001,0,0,0,0,0.4,1
0.99924,29922,26001,0,0,0,0,0.4,0
0.99991,31721,26816,0,0,0,0,0.5,1
0.99991,31721,26816,0,0,0,0,0.5,0
0.99992,33908,28022,0,0,0,0,0.6,1
0.99992,33908,28022,0,0,0,0,0.6,0
0.99992,35636,28769,0,0,0,0,0.7,1
0.99992,35636,28769,0,0,0,0,0.7,0
0.99991,36563,28716,0,0,0,0,0.8,1
0.99991,36563,28716,0,0,0,0,0.8,0
0.99991,36655,27827,0,0,0,0,0.9,1
0.99991,36655,27827,0,0,0,0,0.9,0
0.99992,36070,26261,0,0,0,0,1,1
0.99992,36070,26261,0,0,0,0,1,0
0.99996,35076,24286,0,0,0,0,1.1,1
0.99996,35076,24286,0,0,0,0,1.1,0
1,33906,22134,0,0,0,0,1.2,1
1,33906,22134,0,0,0,0,1.2,0
1,32688,19935,0,0,0,0,1.3,1
1,32688,19935,0,0,0,0,1.3,0
0.99988,31478,17746,0,0,0,0,1.4,1
0.99988,31478,17746,0,0,0,0,1.4,0
0.99963,30306,15597,0,0,0,0,1.5,1
0.99963,30306,15597,0,0,0,0,1.5,0
0.9995,29203,13515,0,0,0,0,1.6,1
0.9995,29203,13515,0,0,0,0,1.6,0
0.99953,28200,11531,0,0,0,0,1.7,1
0.99953,28200,11531,0,0,0,0,1.7,0
0.99977,27333,9678.8,0,0,0,0,1.8,1
0.99977,27333,9678.8,0,0,0,0,1.8,0
0.99997,26627,7988.3,0,0,0,0,1.9,1
0.99997,26627,7988.3,0,0,0,0,1.9,0
0.99947,26092,6483.1,0,0,0,0,2,1
0.99947,26092,6483.1,0,0,0,0,2,0
0.99875,25751,5175.5,0,0,0,0,2.1,1
0.99875,25751,5175.5,0,0,0,0,2.1,0
0.99853,25616,4066,0,0,0,0,2.2,1
0.99853,25616,4066,0,0,0,0,2.2,0
0.99852,25675,3145,0,0,0,0,2.3,1
0.99852,25675,3145,0,0,0,0,2.3,0
0.99851,25904,2395,0,0,0,0,2.4,1
0.99851,25904,2395,0,0,0,0,2.4,0
0.99851,26277,1788.7,0,0,0,0,2.5,1
0.99851,26277,1788.7,0,0,0,0,2.5,0
0.99851,26750,1282.4,0,0,0,0,2.6,1
0.99851,26750,1282.4,0,0,0,0,2.6,0
0.99851,27279,831.01,0,0,0,0,2.7,1
0.99851,27279,831.01,0,0,0,0,2.7,0
0.99851,27832,404.75,0,0,0,0,2.8,1
0.99851,27832,404.75,0,0,0,0,2.8,0
0.99889,28400,-17.863,0,0,0,0,2.9,1
0.99889,28400,-17.863,0,0,0,0,2.9,0
0.99963,28960,-458.88,0,0,0,0,3,1
0.99963,28960,-458.88,0,0,0,0,3,0
1,29468,-942.73,0,0,0,0,3.1,1
1,29468,-942.73,0,0,0,0,3.1,0
1,29885,-1507.2,0,0,0,0,3.2,1
1,29885,-1507.2,0,0,0,0,3.2,0
1,30139,-2234.4,0,0,0,0,3.3,1
1,30139,-2234.4,0,0,0,0,3.3,0
1,30105,-3248.8,0,0,0,0,3.4,1
1,30105,-3248.8,0,0,0,0,3.4,0
0.99999,29635,-4699.5,0,0,0,0,3.5,1
0.99999,29635,-4699.5,0,0,0,0,3.5,0
0.9998,28415,-6893.4,0,0,0,0,3.6,1
0.9998,28415,-6893.4,0,0,0,0,3.6,0
0.99866,26097,-10151,0,0,0,0,3.7,1
0.99866,26097,-10151,0,0,0,0,3.7,0
0.99607,21400,-15731,0,0,0,0,3.8,1
0.99607,21400,-15731,0,0,0,0,3.8,0
0.99445,15089,-22958,0,0,0,0,3.9,1
0.99445,15089,-22958,0,0,0,0,3.9,0
0.99446,12013,-26522,0,0,0,0,4,1
0.99446,12013,-26522,0,0,0,0,4,0
