"kst","nut","wetDry","S","alpha","H","HU:0","HU:1","HU:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
80,0,0,30,0,0,0,0,0,0,0,0,0,0,0
80,0,0,30,0,0,0,0,0,0,0,0,0.1,0,0
80,0,0,30,0,0,0,0,0,0,0,0,0.2,0,0
80,0,0,30,0,0,0,0,0,0,0,0,0.3,0,0
80,0,0,30,0,0,0,0,0,0,0,0,0.4,0,0
80,0,0,30,0,0,0,0,0,0,0,0,0.5,0,0
80,0,0,30,0,0,0,0,0,0,0,0,0.6,0,0
80,0,0,30,0,0,0,0,0,0,0,0,0.7,0,0
80,0,0,30,0,0,0,0,0,0,0,0,0.8,0,0
80,0,0,30,0,0,0,0,0,0,0,0,0.9,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1.1,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1.2,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1.3,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1.4,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1.5,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1.6,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1.7,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1.8,0,0
80,0,0,30,0,0,0,0,0,0,0,0,1.9,0,0
80,0,0,30,0,0,0,0,0,0,0,0,2,0,0
80,0,0,30,0,0,0,0,0,0,0,0,2.1,0,0
80,0,0,30,0,0,0,0,0,0,0,0,2.2,0,0
80,0,0,30,0,0,0,0,0,0,0,0,2.3,0,0
80,0,0.5,30,0,0.0014415,-0.0059407,0,0,-2.0606,0,0,2.4,0,0
80,0.00015122,1,30,1.2538,0.0082743,-0.045905,0,0,-4.985,0,0,2.5,0,0
80,0.00050017,1,30,1.8757,0.019709,-0.12273,0,0,-6.1383,0,0,2.6,0,0
80,0.00091651,1,30,0.98704,0.033175,-0.22159,0,0,-6.6335,0,0,2.7,0,0
80,0.0013955,1,30,0.60145,0.049566,-0.34818,0,0,-6.9962,0,0,2.8,0,0
80,0.001951,1,30,0.40053,0.068835,-0.50203,0,0,-7.275,0,0,2.9,0,0
80,0.0025668,1,30,0.28501,0.09051,-0.67915,0,0,-7.4917,0,0,3,0,0
80,0.0032244,1,30,0.21348,0.11406,-0.87457,0,0,-7.6597,0,0,3.1,0,0
80,0.0039062,1,30,0.16653,0.13897,-1.0831,0,0,-7.7882,0,0,3.2,0,0
80,0.0045965,1,30,0.1342,0.16478,-1.2996,0,0,-7.8837,0,0,3.3,0,0
80,0.0052823,1,30,0.11104,0.19109,-1.5198,0,0,-7.9511,0,0,3.4,0,0
